from_HexID,to_HexID,Month,TimeIndex,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Distance_km,Yarc,Trips,Tail_kWh
13,27,April,15,0.2796831352163771,8.390494056491313,14.812172666783702,1.4753,1.0,0.0,0.2796831352163771
13,27,August,15,0.2796831352163771,8.67017719170769,17.290298560428585,1.4753,1.0,0.0,0.2796831352163771
13,27,December,15,0.2796831352163771,8.67017719170769,8.17685855979484,1.4753,1.0,0.0,0.2796831352163771
13,27,February,15,0.2796831352163771,7.831127786058559,6.7962573010105665,1.4753,1.0,0.0,0.2796831352163771
13,27,January,15,0.2796831352163771,8.67017719170769,18.674275594654926,1.4753,1.0,0.0,0.2796831352163771
13,27,July,15,0.2796831352163771,8.67017719170769,17.318476636301636,1.4753,1.0,0.0,0.2796831352163771
13,27,June,15,0.2796831352163771,8.390494056491313,12.054846557469247,1.4753,1.0,0.0,0.2796831352163771
13,27,March,15,0.2796831352163771,8.67017719170769,4.992735986140186,1.4753,1.0,0.0,0.2796831352163771
13,27,May,15,0.2796831352163771,8.67017719170769,9.768919846622165,1.4753,1.0,0.0,0.2796831352163771
13,27,November,15,0.2796831352163771,8.390494056491313,6.314699811072121,1.4753,1.0,0.0,0.2796831352163771
13,27,October,15,0.2796831352163771,8.67017719170769,20.09401710979706,1.4753,1.0,0.0,0.2796831352163771
13,27,September,15,0.2796831352163771,8.390494056491313,16.091723010398624,1.4753,1.0,0.0,0.2796831352163771
23,24,April,19,16.409000166626512,492.27000499879534,2035.7629148723183,0.1248,1.0,0.0,16.409000166626512
23,24,April,20,16.409000166626512,492.27000499879534,2035.7629148723183,0.1248,1.0,0.0,16.409000166626512
23,24,April,21,6.339070096696421,190.17210290089264,800.9259759958558,0.1248,1.0,0.0,6.339070096696421
23,24,August,19,16.409000166626512,508.67900516542187,2244.0170841270515,0.1248,1.0,0.0,16.409000166626512
23,24,August,20,16.409000166626512,508.67900516542187,2244.0170841270515,0.1248,1.0,0.0,16.409000166626512
23,24,August,21,6.339070096696421,196.51117299758906,871.74026686701,0.1248,1.0,0.0,6.339070096696421
23,24,December,19,16.409000166626512,508.67900516542187,1674.9324470982365,0.1248,1.0,0.0,16.409000166626512
23,24,December,20,16.409000166626512,508.67900516542187,1674.9324470982365,0.1248,1.0,0.0,16.409000166626512
23,24,December,21,6.339070096696421,196.51117299758906,665.4035352195414,0.1248,1.0,0.0,6.339070096696421
23,24,February,19,16.409000166626512,459.45200466554235,1320.216957326249,0.1248,1.0,0.0,16.409000166626512
23,24,February,20,16.409000166626512,459.45200466554235,1320.216957326249,0.1248,1.0,0.0,16.409000166626512
23,24,February,21,6.339070096696421,177.4939627074998,559.5204309315463,0.1248,1.0,0.0,6.339070096696421
23,24,January,19,16.409000166626512,508.67900516542187,2300.416868824768,0.1248,1.0,0.0,16.409000166626512
23,24,January,20,16.409000166626512,508.67900516542187,2300.416868824768,0.1248,1.0,0.0,16.409000166626512
23,24,January,21,6.339070096696421,196.51117299758906,891.7352787195143,0.1248,1.0,0.0,6.339070096696421
23,24,July,19,16.409000166626512,508.67900516542187,2310.9719581819504,0.1248,1.0,0.0,16.409000166626512
23,24,July,20,16.409000166626512,508.67900516542187,2310.9719581819504,0.1248,1.0,0.0,16.409000166626512
23,24,July,21,6.339070096696421,196.51117299758906,924.0122388843687,0.1248,1.0,0.0,6.339070096696421
23,24,June,19,16.409000166626512,492.27000499879534,1913.4338186301177,0.1248,1.0,0.0,16.409000166626512
23,24,June,20,16.409000166626512,492.27000499879534,1913.4338186301177,0.1248,1.0,0.0,16.409000166626512
23,24,June,21,6.339070096696421,190.17210290089264,742.4242828409687,0.1248,1.0,0.0,6.339070096696421
23,24,March,19,16.409000166626512,508.67900516542187,1711.8752598483752,0.1248,1.0,0.0,16.409000166626512
23,24,March,20,16.409000166626512,508.67900516542187,1711.8752598483752,0.1248,1.0,0.0,16.409000166626512
23,24,March,21,6.339070096696421,196.51117299758906,681.8613459580894,0.1248,1.0,0.0,6.339070096696421
23,24,May,19,16.409000166626512,508.67900516542187,1866.386507667372,0.1248,1.0,0.0,16.409000166626512
