iteration,Month,TimeIndex,subproblem_type,lp_relaxation_objective_SEK,mip_objective_SEK,theta_master_SEK,lp_violation_SEK,lp_mip_recourse_gap_SEK,positive_type_arcs,mip_positive_rows,dual_status,dual_termination,mip_status,mip_termination
1,January,1,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,365837.84439739893,365837.84439739893,0.0,7308,0,ok,optimal,ok,optimal
1,January,2,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,745471.9120144972,745471.9120144972,0.0,8424,0,ok,optimal,ok,optimal
1,January,3,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,905596.8410529423,905596.8410529423,0.0,8442,0,ok,optimal,ok,optimal
1,January,4,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,825792.0759517172,825792.0759517172,0.0,8208,0,ok,optimal,ok,optimal
1,January,5,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,534540.0478968829,534540.0478968829,0.0,7290,0,ok,optimal,ok,optimal
1,January,6,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,289727.77062926494,289727.77062926494,0.0,4950,0,ok,optimal,ok,optimal
1,January,7,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,129019.44169970676,129019.44169970676,0.0,3186,0,ok,optimal,ok,optimal
1,January,8,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,35292.17847059675,35292.17847059675,0.0,1134,0,ok,optimal,ok,optimal
1,January,9,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,13900.335259922425,13900.335259922425,0.0,648,0,ok,optimal,ok,optimal
1,January,10,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,23252.587783073588,23252.587783073588,0.0,702,0,ok,optimal,ok,optimal
1,January,11,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,66241.08793378097,66241.08793378097,0.0,2538,0,ok,optimal,ok,optimal
1,January,12,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,154113.33977102692,154113.33977102692,0.0,4140,0,ok,optimal,ok,optimal
1,January,13,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,406290.55711969297,406290.55711969297,0.0,6606,0,ok,optimal,ok,optimal
1,January,14,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,760812.9203278054,760812.9203278054,0.0,8280,0,ok,optimal,ok,optimal
1,January,15,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1139174.3285397312,1139174.3285397312,0.0,9324,0,ok,optimal,ok,optimal
1,January,16,redirection_mip_reconstruction_with_lp_dual_bound,0.0,0.0,1909063.6757621365,1909063.6757621365,0.0,10278,0,ok,optimal,ok,optimal
