ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,407029.990653038,210.0,20235600.0,
slow,public,1317028.9032499671,210.0,20235600.0,
slow,ALL,1724058.8939030052,210.0,20235600.0,0.08519929697676398
medium,home,11415219.93563325,2186.0,421285920.0,
medium,public,66188659.81418547,2186.0,421285920.0,
medium,ALL,77603879.74981871,2186.0,421285920.0,0.18420715259085496
fast,home,4337966.248777456,181.0,79278000.0,
fast,public,31496715.573016476,181.0,79278000.0,
fast,ALL,35834681.82179393,181.0,79278000.0,0.4520129395518798
