ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,226100.46297408012,73.0,7034280.0,
slow,public,975908.3755267243,73.0,7034280.0,
slow,ALL,1202008.8385008087,73.0,7034280.0,0.17087873080127727
medium,home,2412744.9777217004,403.0,77666160.0,
medium,public,16408546.201491313,403.0,77666160.0,
medium,ALL,18821291.179213036,403.0,77666160.0,0.2423358020946708
fast,home,1110286.8282338036,41.0,17958000.0,
fast,public,8025076.800483304,41.0,17958000.0,
fast,ALL,9135363.628717085,41.0,17958000.0,0.5087071850271235
