iteration,method,master_incumbent_SEK,master_best_bound_UB_SEK,global_best_UB_SEK,master_reported_mip_gap,theta_master_SEK,true_type_assignment_cost_SEK,certified_LB_candidate_SEK,best_LB_SEK,Benders_gap,cuts_added,cut_candidates,bad_slots,max_theta_violation_SEK,positive_type_rows
1,Benders,126987829.4153,126997686.8537,126997686.8537,7.8e-05,0.0,138742.82680344125,126849086.58853659,126849086.58853659,0.0011714728829339146,287,287,0,2262.1172349863195,1502
2,Benders,126989246.3318,126994252.2868,126994252.2868,3.9e-05,0.0,65280.05135159971,126923966.2804084,126923966.2804084,0.0005537646549456193,188,188,0,1660.6661070561083,1473
3,Benders,126987125.7223,126996272.1797,126994252.2868,7.2e-05,0.0,43066.50886447156,126944059.21341875,126944059.21341875,0.00039539521338970564,126,126,0,1974.6808528566387,1534
4,Benders,126987096.4892,126995715.3926,126994252.2868,6.8e-05,0.0,17299.114837498382,126969797.37433082,126969797.37433082,0.00019260417024279217,78,78,0,1171.783963867113,1502
5,Benders,126989817.8627,126996594.7989,126994252.2868,5.3e-05,0.0,11977.084241299191,126977840.77844739,126977840.77844739,0.00012924702650474664,43,43,0,1530.1510928661453,1507
6,Benders,126988032.0406,126995736.4226,126994252.2868,6.1000000000000005e-05,0.0,5723.479067507432,126982308.5615357,126982308.5615357,9.405818337684419e-05,28,28,0,1307.5143227638969,1501
