HexID,Month,TimeIndex,DestinationType,W_in_kWh_day,W_in_kWh_annual,E_public_by_dest_type_kWh_day,E_public_by_dest_type_kWh_annual
0,January,1,slow,0.0,0.0,0.0,0.0
0,January,1,medium,0.0,0.0,0.0,0.0
0,January,1,fast,0.0,0.0,0.0,0.0
0,January,2,slow,0.0,0.0,0.0,0.0
0,January,2,medium,0.0,0.0,0.0,0.0
0,January,2,fast,0.0,0.0,0.0,0.0
0,January,3,slow,0.0,0.0,0.0,0.0
0,January,3,medium,0.0,0.0,0.0,0.0
0,January,3,fast,0.0,0.0,0.0,0.0
0,January,4,slow,0.0,0.0,0.0,0.0
0,January,4,medium,0.0,0.0,0.0,0.0
0,January,4,fast,0.0,0.0,0.0,0.0
0,January,5,slow,0.0,0.0,0.0,0.0
0,January,5,medium,0.0,0.0,0.0,0.0
0,January,5,fast,0.0,0.0,0.0,0.0
0,January,6,slow,0.0,0.0,0.0,0.0
0,January,6,medium,0.0,0.0,0.0,0.0
0,January,6,fast,0.0,0.0,0.0,0.0
0,January,7,slow,0.0,0.0,0.0,0.0
0,January,7,medium,0.0,0.0,0.0,0.0
0,January,7,fast,0.0,0.0,0.0,0.0
0,January,8,slow,0.0,0.0,0.0,0.0
0,January,8,medium,0.0,0.0,0.0,0.0
0,January,8,fast,0.0,0.0,0.0,0.0
0,January,9,slow,0.0,0.0,0.0,0.0
0,January,9,medium,0.0,0.0,0.0,0.0
0,January,9,fast,0.0,0.0,0.0,0.0
0,January,10,slow,0.0,0.0,0.0,0.0
0,January,10,medium,0.0,0.0,0.0,0.0
0,January,10,fast,0.0,0.0,0.0,0.0
0,January,11,slow,0.0,0.0,0.0,0.0
0,January,11,medium,0.0,0.0,0.0,0.0
0,January,11,fast,0.0,0.0,0.0,0.0
0,January,12,slow,0.0,0.0,0.0,0.0
0,January,12,medium,0.0,0.0,0.0,0.0
0,January,12,fast,0.0,0.0,0.0,0.0
0,January,13,slow,0.0,0.0,0.0,0.0
0,January,13,medium,0.0,0.0,0.0,0.0
0,January,13,fast,0.0,0.0,0.0,0.0
0,January,14,slow,0.0,0.0,0.0,0.0
0,January,14,medium,0.0,0.0,0.0,0.0
0,January,14,fast,0.0,0.0,0.0,0.0
0,January,15,slow,0.0,0.0,0.0,0.0
0,January,15,medium,0.0,0.0,0.0,0.0
0,January,15,fast,0.0,0.0,0.0,0.0
0,January,16,slow,0.0,0.0,0.0,0.0
0,January,16,medium,0.0,0.0,0.0,0.0
0,January,16,fast,0.0,0.0,0.0,0.0
0,January,17,slow,0.0,0.0,0.0,0.0
0,January,17,medium,0.0,0.0,0.0,0.0
0,January,17,fast,0.0,0.0,0.0,0.0
0,January,18,slow,0.0,0.0,0.0,0.0
0,January,18,medium,0.0,0.0,0.0,0.0
0,January,18,fast,0.0,0.0,0.0,0.0
0,January,19,slow,0.0,0.0,0.0,0.0
0,January,19,medium,0.0,0.0,0.0,0.0
0,January,19,fast,0.0,0.0,0.0,0.0
0,January,20,slow,0.0,0.0,0.0,0.0
0,January,20,medium,0.0,0.0,0.0,0.0
0,January,20,fast,0.0,0.0,0.0,0.0
0,January,21,slow,0.0,0.0,0.0,0.0
0,January,21,medium,0.0,0.0,0.0,0.0
0,January,21,fast,0.0,0.0,0.0,0.0
0,January,22,slow,0.0,0.0,0.0,0.0
0,January,22,medium,0.0,0.0,0.0,0.0
0,January,22,fast,0.0,0.0,0.0,0.0
0,January,23,slow,0.0,0.0,0.0,0.0
0,January,23,medium,0.0,0.0,0.0,0.0
0,January,23,fast,0.0,0.0,0.0,0.0
0,January,24,slow,0.0,0.0,0.0,0.0
0,January,24,medium,0.0,0.0,0.0,0.0
0,January,24,fast,0.0,0.0,0.0,0.0
0,January,25,slow,0.0,0.0,0.0,0.0
0,January,25,medium,0.0,0.0,0.0,0.0
0,January,25,fast,0.0,0.0,0.0,0.0
0,January,26,slow,0.0,0.0,0.0,0.0
0,January,26,medium,0.0,0.0,0.0,0.0
0,January,26,fast,0.0,0.0,0.0,0.0
0,January,27,slow,0.0,0.0,0.0,0.0
0,January,27,medium,0.0,0.0,0.0,0.0
0,January,27,fast,0.0,0.0,0.0,0.0
0,January,28,slow,0.0,0.0,0.0,0.0
0,January,28,medium,0.0,0.0,0.0,0.0
0,January,28,fast,0.0,0.0,0.0,0.0
0,January,29,slow,0.0,0.0,0.0,0.0
0,January,29,medium,0.0,0.0,0.0,0.0
0,January,29,fast,0.0,0.0,0.0,0.0
0,January,30,slow,0.0,0.0,0.0,0.0
0,January,30,medium,0.0,0.0,0.0,0.0
0,January,30,fast,0.0,0.0,0.0,0.0
0,January,31,slow,0.0,0.0,0.0,0.0
0,January,31,medium,0.0,0.0,0.0,0.0
0,January,31,fast,0.0,0.0,0.0,0.0
0,January,32,slow,0.0,0.0,0.0,0.0
0,January,32,medium,0.0,0.0,0.0,0.0
0,January,32,fast,0.0,0.0,0.0,0.0
