Method,Model role,Solver calls,Max initial_rows,Median initial_rows,Max initial_columns,Median initial_columns,Max initial_nonzeros,Median initial_nonzeros,Max presolved_rows,Median presolved_rows,Max presolved_columns,Median presolved_columns,Max presolved_nonzeros,Median presolved_nonzeros,Max root_presolved_rows,Median root_presolved_rows,Max root_presolved_columns,Median root_presolved_columns,Max root_presolved_nonzeros,Median root_presolved_nonzeros,Max barrier_factor_memory_MB,Median barrier_factor_memory_MB,Max threads_used,Median threads_used,Total solver_seconds,Total work_units,Total nodes_explored,Total simplex_iterations,Rows removed by presolve,Columns removed by presolve
Benders,main_model,1,1275905.0,1275905.0,1019913.0,1019913.0,4044695.0,4044695.0,880876.0,880876.0,663064.0,663064.0,2786304.0,2786304.0,665121.0,665121.0,453135.0,453135.0,1953577.0,1953577.0,500.0,500.0,32.0,32.0,8508.37,3333.53,12865.0,1603349.0,0.3096069064703093,0.3498818036440363
Benders,master,6,1275905.0,1275721.0,1019913.0,1019913.0,4044695.0,4043185.0,880876.0,880697.5,663064.0,663041.0,2786304.0,2784923.0,665121.0,664942.5,453135.0,453104.5,1953577.0,1951717.5,500.0,500.0,32.0,32.0,30847.79,15715.59,49234.0,7605802.0,0.3096069064703093,0.3498818036440363
Benders,other,1,1275905.0,1275905.0,1019913.0,1019913.0,4044695.0,4044695.0,880876.0,880876.0,663064.0,663064.0,2786304.0,2786304.0,665121.0,665121.0,453135.0,453135.0,1953577.0,1953577.0,500.0,500.0,32.0,32.0,8508.37,3333.53,12865.0,1603349.0,0.3096069064703093,0.3498818036440363
