HexID,slow_chargers,medium_chargers,fast_chargers,slow_capacity_kWh_slot,medium_capacity_kWh_slot,fast_capacity_kWh_slot,PV_panels,Battery_units,Total_public_capacity_kWh_slot
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,5.0,0.0,-0.0,55.0,0.0,163.0,11.0,55.0
2,-0.0,1.0,-0.0,-0.0,11.0,-0.0,-0.0,-0.0,11.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
4,-0.0,2.0,2.0,-0.0,22.0,50.0,257.0,9.0,72.0
5,1.0,5.0,0.0,5.5,55.0,0.0,216.0,4.0,60.5
6,0.0,9.0,0.0,0.0,99.0,0.0,418.0,6.0,99.0
7,-0.0,3.0,0.0,-0.0,33.0,0.0,115.0,3.0,33.0
8,4.0,-0.0,1.0,22.0,-0.0,25.0,179.0,1.0,47.0
9,-0.0,5.0,1.0,-0.0,55.0,25.0,329.0,6.0,80.0
10,-0.0,9.0,1.0,-0.0,99.0,25.0,516.0,15.0,124.0
11,-0.0,7.0,2.0,-0.0,77.0,50.0,543.0,12.0,127.0
12,-0.0,2.0,-0.0,-0.0,22.0,-0.0,70.0,5.0,22.0
13,-0.0,1.0,1.0,-0.0,11.0,25.0,222.0,5.0,36.0
14,18.0,5.0,1.0,99.0,55.0,25.0,369.0,2.0,179.0
15,23.0,6.0,0.0,126.5,66.0,0.0,184.0,-0.0,192.5
16,1.0,17.0,1.0,5.5,187.0,25.0,285.0,-0.0,217.5
17,-0.0,21.0,-0.0,-0.0,231.0,-0.0,313.0,-0.0,231.0
18,-0.0,11.0,1.0,-0.0,121.0,25.0,396.0,1.0,146.0
19,-0.0,2.0,0.0,-0.0,22.0,0.0,62.0,5.0,22.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,7.0,1.0,-0.0,77.0,25.0,229.0,-0.0,102.0
22,-0.0,10.0,1.0,-0.0,110.0,25.0,302.0,1.0,135.0
23,1.0,17.0,1.0,5.5,187.0,25.0,260.0,-0.0,217.5
24,-0.0,26.0,-0.0,-0.0,286.0,-0.0,161.0,-0.0,286.0
25,-0.0,25.0,1.0,-0.0,275.0,25.0,449.0,-0.0,300.0
26,-0.0,13.0,1.0,-0.0,143.0,25.0,440.0,3.0,168.0
27,-0.0,3.0,0.0,-0.0,33.0,0.0,82.0,4.0,33.0
28,-0.0,6.0,1.0,-0.0,66.0,25.0,458.0,17.0,91.0
29,-0.0,9.0,1.0,-0.0,99.0,25.0,383.0,6.0,124.0
30,-0.0,3.0,2.0,-0.0,33.0,50.0,317.0,7.0,83.0
31,1.0,17.0,-0.0,5.5,187.0,-0.0,224.0,-0.0,192.5
32,-0.0,45.0,-0.0,-0.0,495.0,-0.0,155.0,-0.0,495.0
33,19.0,10.0,1.0,104.5,110.0,25.0,443.0,6.0,239.5
34,1.0,3.0,2.0,5.5,33.0,50.0,421.0,9.0,88.5
35,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
36,-0.0,10.0,1.0,-0.0,110.0,25.0,658.0,20.0,135.0
37,0.0,2.0,1.0,0.0,22.0,25.0,171.0,5.0,47.0
38,1.0,2.0,1.0,5.5,22.0,25.0,231.0,7.0,52.5
39,-0.0,5.0,1.0,-0.0,55.0,25.0,418.0,14.0,80.0
40,-0.0,13.0,1.0,-0.0,143.0,25.0,399.0,8.0,168.0
41,-0.0,10.0,1.0,-0.0,110.0,25.0,497.0,8.0,135.0
42,1.0,6.0,0.0,5.5,66.0,0.0,23.0,2.0,71.5
43,-0.0,2.0,1.0,-0.0,22.0,25.0,252.0,13.0,47.0
44,-0.0,3.0,2.0,-0.0,33.0,50.0,404.0,17.0,83.0
45,-0.0,6.0,1.0,-0.0,66.0,25.0,392.0,11.0,91.0
46,1.0,4.0,2.0,5.5,44.0,50.0,614.0,11.0,99.5
47,-0.0,8.0,0.0,-0.0,88.0,0.0,286.0,21.0,88.0
48,-0.0,4.0,0.0,-0.0,44.0,0.0,143.0,7.0,44.0
49,1.0,3.0,1.0,5.5,33.0,25.0,318.0,5.0,63.5
50,-0.0,-0.0,1.0,-0.0,-0.0,25.0,10.0,1.0,25.0
51,-0.0,3.0,0.0,-0.0,33.0,0.0,45.0,3.0,33.0
52,-0.0,2.0,1.0,-0.0,22.0,25.0,249.0,6.0,47.0
53,-0.0,4.0,1.0,-0.0,44.0,25.0,307.0,6.0,69.0
54,-0.0,5.0,1.0,-0.0,55.0,25.0,312.0,6.0,80.0
55,-0.0,2.0,1.0,-0.0,22.0,25.0,227.0,5.0,47.0
56,0.0,4.0,0.0,0.0,44.0,0.0,148.0,8.0,44.0
