log_file,log_name,model_role,initial_rows,initial_columns,initial_nonzeros,initial_continuous,initial_integer_total,initial_binary,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_presolved_rows,root_presolved_columns,root_presolved_nonzeros,barrier_factor_memory_MB,nodes_explored,simplex_iterations,solver_seconds,work_units,threads_used,final_objective,final_bound,final_gap,log_size_bytes
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_master_iter_001.log,gurobi_master_iter_001.log,master,1275183,1019913,4037019,871596,148317,90432,747593,624870,527590,395043,1665517,418836,290271,1254437,340.0,786,489878,906.66,637.67,32,126987829.4153,126997686.8537,7.8e-05,28710
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_master_iter_002.log,gurobi_master_iter_002.log,master,1275470,1019913,4040771,871596,148317,90432,395022,356944,880448,662969,2782765,664692,453013,1950074,500.0,7423,1540781,4827.11,2944.89,32,126989246.3318,126994252.2868,3.9e-05,39486
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_master_iter_003.log,gurobi_master_iter_003.log,master,1275658,1019913,4042590,871596,148317,90432,395023,356884,880635,663029,2784380,664880,453089,1951652,500.0,12085,1537786,6716.52,3845.28,32,126987125.7223,126996272.1797,7.2e-05,38643
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_master_iter_004.log,gurobi_master_iter_004.log,master,1275784,1019913,4043780,871596,148317,90432,395024,356860,880760,663053,2785466,665005,453120,1952780,500.0,5600,1542189,5324.96,3103.31,32,126987096.4892,126995715.3926,6.8e-05,39868
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_master_iter_005.log,gurobi_master_iter_005.log,master,1275862,1019913,4044397,871596,148317,90432,395027,356852,880835,663061,2786035,665080,453130,1951783,500.0,10475,891819,4564.17,1850.91,32,126989817.8627,126996594.7989,5.3e-05,36575
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_master_iter_006.log,gurobi_master_iter_006.log,master,1275905,1019913,4044695,871596,148317,90432,395029,356849,880876,663064,2786304,665121,453135,1953577,500.0,12865,1603349,8508.37,3333.53,32,126988032.0406,126995736.4226,6.1000000000000005e-05,41153
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\gurobi_run.log,gurobi_run.log,main_model,1275905,1019913,4044695,871596,148317,90432,395029,356849,880876,663064,2786304,665121,453135,1953577,500.0,12865,1603349,8508.37,3333.53,32,126988032.0406,126995736.4226,6.1000000000000005e-05,41153
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_095839_small_with_redirection_Benders_withPV_withBESS\logs\pyomo_solve.log,pyomo_solve.log,other,1275905,1019913,4044695,871596,148317,90432,395029,356849,880876,663064,2786304,665121,453135,1953577,500.0,12865,1603349,8508.37,3333.53,32,126988032.0406,126995736.4226,6.1000000000000005e-05,41618
