from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,DeltaPrice_SEK_per_kWh,PriceComp_SEK_day,PriceComp_SEK_annual
50,43,January,2,fast,fast,1.002375122423004,31.073628795113123,0.0,0.0,0.0
45,53,January,3,fast,fast,1.1871025107648663,36.800177833710855,0.0,0.0,0.0
50,43,January,3,medium,fast,0.7557997298061849,23.429791623991733,0.5,0.37789986490309246,11.714895811995866
50,51,January,3,medium,medium,2.5949446983592495,80.44328564913673,0.0,0.0,0.0
45,53,January,4,fast,fast,4.356889244334958,135.0635665743837,0.0,0.0,0.0
27,34,January,14,fast,fast,8.028540684501877,248.8847612195582,0.0,0.0,0.0
27,34,January,15,fast,fast,9.252288883145404,286.8209553775075,0.0,0.0,0.0
13,21,January,16,fast,medium,1.3379891547826048,41.47766379826075,0.0,0.0,0.0
15,7,January,16,fast,medium,6.481363411250856,200.9222657487765,0.0,0.0,0.0
15,8,January,16,fast,fast,13.976217278848976,433.26273564431824,0.0,0.0,0.0
30,38,January,16,fast,fast,0.3027530047000795,9.385343145702464,0.0,0.0,0.0
33,25,January,16,fast,medium,7.478117850832646,231.82165337581205,0.0,0.0,0.0
39,48,January,16,fast,medium,10.936688471155477,339.0373426058198,0.0,0.0,0.0
40,48,January,16,medium,medium,5.47947300018879,169.8636630058525,0.0,0.0,0.0
1,2,January,17,fast,medium,0.2702934422565093,8.379096709951789,0.0,0.0,0.0
1,9,January,17,fast,fast,3.411321796598697,105.7509756945596,0.0,0.0,0.0
15,7,January,17,fast,medium,31.50861765740415,976.7671473795288,0.0,0.0,0.0
15,23,January,17,fast,medium,33.35543024852539,1034.018337704287,0.0,0.0,0.0
16,24,January,17,medium,medium,13.503823654090723,418.6185332768124,0.0,0.0,0.0
25,18,January,17,medium,medium,16.137238929102793,500.25440680218657,0.0,0.0,0.0
26,34,January,17,fast,fast,3.5965715685851194,111.4937186261387,0.0,0.0,0.0
32,24,January,17,medium,medium,4.451795910624524,138.00567322936024,0.0,0.0,0.0
33,25,January,17,fast,medium,17.475601402457116,541.7436434761706,0.0,0.0,0.0
33,26,January,17,fast,medium,21.331291330457816,661.2700312441923,0.0,0.0,0.0
43,50,January,17,fast,fast,2.506715844364386,77.70819117529598,0.0,0.0,0.0
47,46,January,17,fast,medium,8.855377440273415,274.5167006484759,0.0,0.0,0.0
15,7,January,18,fast,medium,33.0,1023.0,0.0,0.0,0.0
15,22,January,18,fast,medium,24.35497397464006,755.0041932138419,0.0,0.0,0.0
15,22,January,18,fast,fast,7.748649692584665,240.2081404701246,0.0,0.0,0.0
15,23,January,18,fast,medium,22.063997850368395,683.9839333614202,0.0,0.0,0.0
30,29,January,18,fast,fast,3.2652588549217967,101.2230245025757,0.0,0.0,0.0
41,42,January,18,medium,medium,7.213328569205231,223.61318564536217,0.0,0.0,0.0
15,7,January,19,fast,medium,33.0,1023.0,0.0,0.0,0.0
15,22,January,19,fast,medium,2.42177365138496,75.07498319293376,0.0,0.0,0.0
23,16,January,19,fast,medium,48.55475356571159,1505.1973605370595,0.0,0.0,0.0
23,16,January,20,medium,fast,18.801076349194943,582.8333668250432,0.5,9.400538174597472,291.4166834125216
36,29,January,20,fast,fast,0.47002584023778127,14.57080104737122,0.0,0.0,0.0
15,7,January,23,fast,medium,4.132427433800327,128.10525044781014,0.0,0.0,0.0
15,8,January,23,fast,fast,17.66158640710273,547.5091786201847,0.0,0.0,0.0
15,22,January,23,fast,fast,15.350771749785697,475.8739242433566,0.0,0.0,0.0
52,44,January,23,fast,fast,12.062127433278174,373.9259504316234,0.0,0.0,0.0
52,53,January,23,fast,fast,5.9953213227416775,185.854961004992,0.0,0.0,0.0
55,54,January,23,slow,medium,8.28428957560353,256.81297684370946,0.5,4.142144787801765,128.40648842185473
7,8,January,24,fast,fast,1.153809322851977,35.76808900841129,0.0,0.0,0.0
15,8,January,24,fast,fast,23.846190677148023,739.2319109915887,0.0,0.0,0.0
15,23,January,24,fast,medium,18.029870644775265,558.9259899880332,0.0,0.0,0.0
48,40,January,24,medium,medium,1.4374645490636624,44.561401020973534,0.0,0.0,0.0
15,8,January,25,fast,fast,3.5552812903225806,110.21372,0.0,0.0,0.0
48,39,January,25,fast,fast,1.437464549063872,44.56140102098003,0.0,0.0,0.0
15,8,January,26,fast,fast,10.172179419547273,315.3375620059655,0.0,0.0,0.0
34,27,January,26,fast,medium,6.408126418686166,198.65191897927116,0.0,0.0,0.0
11,4,January,27,fast,fast,2.147823399912596,66.58252539729048,0.0,0.0,0.0
15,7,January,27,fast,medium,7.52333861187023,233.22349696797713,0.0,0.0,0.0
15,8,January,27,fast,fast,25.0,775.0,0.0,0.0,0.0
15,7,January,28,fast,medium,7.996436940161942,247.8895451450202,0.0,0.0,0.0
15,8,January,28,fast,fast,25.0,775.0,0.0,0.0,0.0
17,9,January,28,fast,fast,4.690420966346931,145.40304995675487,0.0,0.0,0.0
17,10,January,28,fast,fast,4.060305066856046,125.86945707253741,0.0,0.0,0.0
17,24,January,28,fast,medium,49.978262155874646,1549.326126832114,0.0,0.0,0.0
45,44,January,28,fast,fast,4.26227017923064,132.13037555614983,0.0,0.0,0.0
43,50,January,29,fast,fast,20.601529342524373,638.6474096182556,0.0,0.0,0.0
18,10,January,30,fast,fast,13.827971449260371,428.6671149270715,0.0,0.0,0.0
18,25,January,30,fast,medium,12.176502723768817,377.4715844368333,0.0,0.0,0.0
53,52,January,30,fast,fast,0.1,3.1,0.0,0.0,0.0
18,10,January,31,fast,fast,7.920550110366111,245.53705342134944,0.0,0.0,0.0
18,25,January,31,fast,medium,25.97924973551322,805.3567418009098,0.0,0.0,0.0
11,4,January,33,fast,fast,11.878964693614105,368.24790550203727,0.0,0.0,0.0
