Month,TimeIndex,G_kWh_day,R_kWh_day,W_kWh_day,ThetaType_master_SEK,TypeAssignmentCost_reconstructed_SEK
January,1,0.0,0.0,0.0,0.0,0.0
January,2,1.002375122423004,1.002375122423004,1.002375122423004,0.0,0.0
January,3,4.537846938930301,4.537846938930301,4.537846938930301,0.0,11.714895811995866
January,4,4.356889244334958,4.356889244334958,4.356889244334958,0.0,0.0
January,5,0.0,0.0,0.0,0.0,0.0
January,6,0.0,0.0,0.0,0.0,0.0
January,7,0.0,0.0,0.0,0.0,0.0
January,8,0.0,0.0,0.0,0.0,0.0
January,9,0.0,0.0,0.0,0.0,0.0
January,10,0.0,0.0,0.0,0.0,0.0
January,11,0.0,0.0,0.0,0.0,0.0
January,12,0.0,0.0,0.0,0.0,0.0
January,13,0.0,0.0,0.0,0.0,0.0
January,14,8.028540684501877,8.028540684501877,8.028540684501877,0.0,0.0
January,15,9.252288883145404,9.252288883145404,9.252288883145404,0.0,0.0
January,16,45.99260217175943,45.99260217175943,45.99260217175943,0.0,0.0
January,17,156.40407922474066,156.40407922474066,156.40407922474063,0.0,0.0
January,18,97.64620894172015,97.64620894172015,97.64620894172015,0.0,0.0
January,19,83.97652721709656,83.97652721709657,83.97652721709656,0.0,0.0
January,20,19.271102189432725,19.271102189432725,19.271102189432725,0.0,291.4166834125216
January,21,0.0,0.0,0.0,0.0,0.0
January,22,0.0,0.0,0.0,0.0,0.0
January,23,63.48652392231323,63.48652392231323,63.48652392231214,0.0,128.40648842185473
January,24,44.46733519383893,44.46733519383893,44.46733519383893,0.0,0.0
January,25,4.992745839386453,4.992745839386453,4.992745839386453,0.0,0.0
January,26,16.58030583823344,16.58030583823344,16.58030583823344,0.0,0.0
January,27,34.671162011782826,34.671162011782826,34.671162011782826,0.0,0.0
January,28,95.98769530847021,95.98769530847021,95.98769530847021,0.0,0.0
January,29,20.601529342524373,20.601529342524373,20.601529342524373,0.0,0.0
January,30,26.10447417302919,26.10447417302919,26.10447417302919,0.0,0.0
January,31,33.89979984587933,33.89979984587933,33.89979984587933,0.0,0.0
January,32,0.0,0.0,0.0,0.0,0.0
January,33,36.82508125462191,36.82508125462191,36.82508125462191,0.0,0.0
January,34,30.60604223426865,30.60604223426865,30.60604223426865,0.0,0.0
January,35,35.57478564949901,35.57478564949901,35.57478564949901,0.0,0.0
January,36,15.095364459885062,15.095364459885062,15.095364459885062,0.0,0.0
January,37,0.0,0.0,0.0,0.0,0.0
January,38,0.6994932056427352,0.6994932056427352,0.6994932056427352,0.0,0.0
January,39,2.0740279286661547,2.0740279286661547,2.0740279286661547,0.0,0.0
January,40,0.0,0.0,0.0,0.0,0.0
January,41,0.0,0.0,0.0,0.0,0.0
January,42,0.0,0.0,0.0,0.0,0.0
January,43,0.0,0.0,0.0,0.0,0.0
January,44,0.0,0.0,0.0,0.0,0.0
January,45,0.0,0.0,0.0,0.0,0.0
January,46,0.0,0.0,0.0,0.0,0.0
January,47,0.0,0.0,0.0,0.0,0.0
January,48,0.0,0.0,0.0,0.0,0.0
