iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,July,28,corepoint_lp_dual_upper_cut,0.0,1673541.2004089113,1673541.2004089113,1386,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,28,corepoint_lp_dual_upper_cut,0.0,1649838.1744315384,1649838.1744315384,1385,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,20,corepoint_lp_dual_upper_cut,0.0,1645689.9564755498,1645689.9564755498,1530,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,20,corepoint_lp_dual_upper_cut,0.0,1638918.691149491,1638918.691149491,1531,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,19,corepoint_lp_dual_upper_cut,0.0,1634325.1903304004,1634325.1903304004,1537,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,18,corepoint_lp_dual_upper_cut,0.0,1633166.4809247192,1633166.4809247192,1598,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,27,corepoint_lp_dual_upper_cut,0.0,1630037.1279198807,1630037.1279198807,1458,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,28,corepoint_lp_dual_upper_cut,0.0,1628401.7263028931,1628401.7263028931,1384,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,17,corepoint_lp_dual_upper_cut,0.0,1627854.5446406798,1627854.5446406798,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,27,corepoint_lp_dual_upper_cut,0.0,1619146.9218253775,1619146.9218253775,1456,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,19,corepoint_lp_dual_upper_cut,0.0,1604929.6074425657,1604929.6074425657,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,20,corepoint_lp_dual_upper_cut,0.0,1602737.2914855496,1602737.2914855496,1529,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,16,corepoint_lp_dual_upper_cut,0.0,1598333.1341699888,1598333.1341699888,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,27,corepoint_lp_dual_upper_cut,0.0,1596214.3035308097,1596214.3035308097,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,28,corepoint_lp_dual_upper_cut,0.0,1585106.2477348228,1585106.2477348228,1385,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,27,corepoint_lp_dual_upper_cut,0.0,1575474.593630698,1575474.593630698,1458,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,18,corepoint_lp_dual_upper_cut,0.0,1561635.5248232333,1561635.5248232333,1595,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,28,corepoint_lp_dual_upper_cut,0.0,1560072.273365141,1560072.273365141,1386,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,November,18,corepoint_lp_dual_upper_cut,0.0,1543051.3383504841,1543051.3383504841,1595,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,16,corepoint_lp_dual_upper_cut,0.0,1540318.7890942753,1540318.7890942753,1522,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,27,corepoint_lp_dual_upper_cut,0.0,1533586.3265026947,1533586.3265026947,1457,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,33,corepoint_lp_dual_upper_cut,0.0,1530473.8132585757,1530473.8132585757,1353,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,33,corepoint_lp_dual_upper_cut,0.0,1520343.5642541386,1520343.5642541386,1352,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,27,corepoint_lp_dual_upper_cut,0.0,1509366.018970486,1509366.018970486,1456,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,19,corepoint_lp_dual_upper_cut,0.0,1487998.1061033797,1487998.1061033797,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,18,corepoint_lp_dual_upper_cut,0.0,1484883.6794265276,1484883.6794265276,1594,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,34,corepoint_lp_dual_upper_cut,0.0,1479860.0631776731,1479860.0631776731,1365,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,28,corepoint_lp_dual_upper_cut,0.0,1478000.8402390112,1478000.8402390112,1385,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,16,corepoint_lp_dual_upper_cut,0.0,1474396.1605783831,1474396.1605783831,1519,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,September,19,corepoint_lp_dual_upper_cut,0.0,1473759.7516137483,1473759.7516137483,1535,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,26,corepoint_lp_dual_upper_cut,0.0,1470824.7145543492,1470824.7145543492,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,28,corepoint_lp_dual_upper_cut,0.0,1470326.2002077533,1470326.2002077533,1387,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,34,corepoint_lp_dual_upper_cut,0.0,1470064.8280015853,1470064.8280015853,1366,9504,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,April,20,corepoint_lp_dual_upper_cut,0.0,1463875.4559657788,1463875.4559657788,1534,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,26,corepoint_lp_dual_upper_cut,0.0,1460495.3711865235,1460495.3711865235,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,19,corepoint_lp_dual_upper_cut,0.0,1460040.409692653,1460040.409692653,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,21,corepoint_lp_dual_upper_cut,0.0,1454713.1858237735,1454713.1858237735,1473,9756,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,29,corepoint_lp_dual_upper_cut,0.0,1446264.1954309384,1446264.1954309384,1384,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,30,corepoint_lp_dual_upper_cut,0.0,1442658.3247756732,1442658.3247756732,1333,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,33,corepoint_lp_dual_upper_cut,0.0,1441194.4215135896,1441194.4215135896,1355,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,29,corepoint_lp_dual_upper_cut,0.0,1441048.3879196262,1441048.3879196262,1386,9378,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,30,corepoint_lp_dual_upper_cut,0.0,1437455.5214770823,1437455.5214770823,1333,8910,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,26,corepoint_lp_dual_upper_cut,0.0,1437287.8854380315,1437287.8854380315,1438,10350,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,33,corepoint_lp_dual_upper_cut,0.0,1430398.1699794491,1430398.1699794491,1354,9414,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,27,corepoint_lp_dual_upper_cut,0.0,1429962.1128799154,1429962.1128799154,1457,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
