ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,327973.0220655389,216.0,20813760.0,
slow,public,1061302.9433622807,216.0,20813760.0,
slow,ALL,1389275.9654278196,216.0,20813760.0,0.06674795738145436
medium,home,11853668.808753476,2216.0000000776226,427067520.0149594,
medium,public,67389354.55205007,2216.0000000776226,427067520.0149594,
medium,ALL,79243023.36080353,2216.0000000776226,427067520.0149594,0.1855515103514025
fast,home,3978574.3442448364,173.000000511778,75774000.22415876,
fast,public,30634334.005175285,173.000000511778,75774000.22415876,
fast,ALL,34612908.34942012,173.000000511778,75774000.22415876,0.45679135649465963
