ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,285270.7941113296,170.0,16381200.0,
slow,public,818852.750249024,170.0,16381200.0,
slow,ALL,1104123.5443603536,170.0,16381200.0,0.06740187192393436
medium,home,11954449.255392335,2256.0000003153973,434776320.0607834,
medium,public,67975085.76223132,2256.0000003153973,434776320.0607834,
medium,ALL,79929535.01762366,2256.0000003153973,434776320.0607834,0.18384058958512095
fast,home,3920496.1255601887,172.0000000646127,75336000.02830036,
fast,public,30299013.621194925,172.0000000646127,75336000.02830036,
fast,ALL,34219509.74675511,172.0000000646127,75336000.02830036,0.4542252008853718
