from_HexID,to_HexID,Month,TimeIndex,OriginType,DestinationType,Energy_kWh_day,Energy_kWh_annual,AnnualNetValue_SEK,Coeff_SEK_per_kWh_annualized_excl_distance,Yarc,Trips_day,Tail_kWh_day,DeltaPrice_SEK_per_kWh,PriceComp_SEK_annual
60,85,January,1,fast,medium,4.72815533980582,146.57281553398042,671.4085389967631,142.63875000000002,1.0,0.0,4.72815533980582,0.0,0.0
85,106,January,2,fast,medium,14.091361126582783,436.83219492406624,2009.97413689436,142.63875000000002,1.0,0.0,14.091361126582783,0.0,0.0
106,48,January,2,fast,medium,13.132297559961163,407.10122435879606,1625.743812431959,142.63875000000002,1.0,0.0,13.132297559961163,0.0,0.0
106,60,January,2,fast,medium,4.324271844660199,134.05242718446618,614.0561874110041,142.63875000000002,1.0,0.0,4.324271844660199,0.0,0.0
131,129,January,2,fast,medium,4.300340007555624,133.31054023422433,572.1399547349068,142.63875000000002,1.0,0.0,4.300340007555624,0.0,0.0
144,120,January,2,medium,medium,0.8152677326590094,25.273299712429292,72.16361086789074,142.63875000000002,1.0,0.0,0.8152677326590094,0.0,0.0
283,309,January,2,fast,medium,1.3934428369979628,43.196727946936846,116.61259086371234,142.63875000000002,1.0,0.0,1.3934428369979628,0.0,0.0
359,385,January,2,fast,medium,4.634112486378566,143.65748707773554,441.22529608594476,142.63875000000002,1.0,0.0,4.634112486378566,0.0,0.0
388,387,January,2,fast,medium,4.751154045098929,147.2857753980668,472.2212706976812,142.63875000000002,1.0,0.0,4.751154045098929,0.0,0.0
411,410,January,2,fast,medium,3.565976263209805,110.54526415950396,329.32723887864756,142.63875000000002,1.0,0.0,3.565976263209805,0.0,0.0
442,441,January,2,fast,medium,4.245847949327526,131.62128642915332,393.7367423380051,142.63875000000002,1.0,0.0,4.245847949327526,0.0,0.0
461,488,January,2,fast,fast,3.893550692207981,120.70007145844741,425.8954324775616,158.13875000000002,1.0,0.0,3.893550692207981,0.0,0.0
85,106,January,3,fast,medium,18.642726536205668,577.9245226223757,2660.403299326779,142.704625,1.0,0.0,18.642726536205668,0.0,0.0
88,110,January,3,fast,fast,2.892653430615418,89.67225634907797,318.51002585526226,158.204625,1.0,0.0,2.892653430615418,0.0,0.0
106,48,January,3,fast,medium,12.379180618098541,383.7545991610548,1533.3253992709201,142.704625,1.0,0.0,12.379180618098541,0.0,0.0
106,60,January,3,fast,medium,11.0,341.0,1562.7490083333332,142.704625,1.0,0.0,11.0,0.0,0.0
