iteration,Month,TimeIndex,cut_type,rhs_at_current_SEK,theta_at_current_SEK,violation_SEK,nonzeros,positive_type_arcs,dual_termination,exactness,selection_rule
1,July,28,corepoint_lp_dual_upper_cut,0.0,1673541.2004089113,1673541.2004089113,1388,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,28,corepoint_lp_dual_upper_cut,0.0,1649838.1744315384,1649838.1744315384,1387,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,20,corepoint_lp_dual_upper_cut,0.0,1645689.9564755498,1645689.9564755498,1532,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,20,corepoint_lp_dual_upper_cut,0.0,1638918.691149491,1638918.691149491,1532,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,19,corepoint_lp_dual_upper_cut,0.0,1634325.1903303994,1634325.1903303994,1537,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,December,18,corepoint_lp_dual_upper_cut,0.0,1633166.4809247176,1633166.4809247176,1598,10854,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,October,27,corepoint_lp_dual_upper_cut,0.0,1630037.127919881,1630037.127919881,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,28,corepoint_lp_dual_upper_cut,0.0,1628401.7263028931,1628401.7263028931,1387,9396,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,March,17,corepoint_lp_dual_upper_cut,0.0,1627854.5446406794,1627854.5446406794,1552,10692,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,July,27,corepoint_lp_dual_upper_cut,0.0,1619146.9218253777,1619146.9218253777,1460,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,May,19,corepoint_lp_dual_upper_cut,0.0,1604929.6074425648,1604929.6074425648,1536,10404,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,August,20,corepoint_lp_dual_upper_cut,0.0,1602737.2914855496,1602737.2914855496,1529,10368,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,June,16,corepoint_lp_dual_upper_cut,0.0,1598333.134169988,1598333.134169988,1520,10278,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
1,January,27,corepoint_lp_dual_upper_cut,0.0,1596214.30353081,1596214.30353081,1459,9738,optimal,valid_upper_cut_for_continuous_redirection_LP_restricted_model,corepoint; top=all; min_violation=1e-05
