check,passed,value,threshold,note
lbbd_gap_within_target,True,0.018816659595842444,0.025,percent
slack_penalty_effectively_zero,True,0.0,<= 1e-3 SEK,
soc_month_link_gap_within_numerical_tolerance,True,0.1570170694535875,<= 2.438 kWh,"adaptive tolerance: max(1 kWh, 0.01% of installed BESS energy capacity)"
annual_profit_present,True,501662323.9793718,numeric,
pv_panels_present,True,78506.0,numeric,
battery_units_present,True,2438.0,numeric,
