HexID,slow_chargers,slow_footprint,slow_capacity_kWh_slot,medium_chargers,medium_footprint,medium_capacity_kWh_slot,fast_chargers,fast_footprint,fast_capacity_kWh_slot,PV_panels,Battery_units,Total_charger_footprint,Total_public_capacity_kWh_slot
141,-0.0,-0.0,-0.0,5.0,25.0,55.0,1.0,150.0,25.0,447.0,6.0,175.0,80.0
142,-0.0,-0.0,-0.0,3.0,15.0,33.0,2.0,300.0,50.0,375.0,11.0,315.0,83.0
143,0.0,0.0,0.0,5.0,25.0,55.0,0.0,0.0,0.0,148.0,13.0,25.0,55.0
144,-0.0,-0.0,-0.0,6.0,30.0,66.0,0.0,0.0,0.0,251.0,7.0,30.0,66.0
145,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,7.0,7.0,38.5,4.0,20.0,44.0,0.0,0.0,0.0,51.0,2.0,27.0,82.5
147,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,38.5
148,-0.0,-0.0,-0.0,2.0,10.0,22.0,1.0,150.0,25.0,214.0,7.0,160.0,47.0
149,-0.0,-0.0,-0.0,10.0,50.0,110.0,1.0,150.0,25.0,270.0,16.0,200.0,135.0
150,-0.0,-0.0,-0.0,5.0,25.0,55.0,0.0,0.0,0.0,181.0,5.0,25.0,55.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,90.0,4.0,20.0,44.0
153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
154,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,-0.0,-0.0,-0.0,5.0,25.0,55.0,0.0,0.0,0.0,214.0,7.0,25.0,55.0
156,-0.0,-0.0,-0.0,2.0,10.0,22.0,1.0,150.0,25.0,120.0,5.0,160.0,47.0
157,-0.0,-0.0,-0.0,3.0,15.0,33.0,2.0,300.0,50.0,472.0,15.0,315.0,83.0
158,-0.0,-0.0,-0.0,1.0,5.0,11.0,2.0,300.0,50.0,233.0,12.0,305.0,61.0
159,-0.0,-0.0,-0.0,1.0,5.0,11.0,1.0,150.0,25.0,196.0,5.0,155.0,36.0
160,-0.0,-0.0,-0.0,3.0,15.0,33.0,1.0,150.0,25.0,241.0,8.0,165.0,58.0
161,-0.0,-0.0,-0.0,5.0,25.0,55.0,0.0,0.0,0.0,142.0,6.0,25.0,55.0
162,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,105.0,4.0,15.0,33.0
163,-0.0,-0.0,-0.0,1.0,5.0,11.0,1.0,150.0,25.0,157.0,5.0,155.0,36.0
164,-0.0,-0.0,-0.0,10.0,50.0,110.0,1.0,150.0,25.0,727.0,18.0,200.0,135.0
165,0.0,0.0,0.0,2.0,10.0,22.0,1.0,150.0,25.0,184.0,3.0,160.0,47.0
166,-0.0,-0.0,-0.0,2.0,10.0,22.0,1.0,150.0,25.0,189.0,6.0,160.0,47.0
167,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0
169,1.0,1.0,5.5,2.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,11.0,27.5
170,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,1.0,1.0,5.5,5.0,25.0,55.0,1.0,150.0,25.0,479.0,21.0,176.0,85.5
172,-0.0,-0.0,-0.0,6.0,30.0,66.0,1.0,150.0,25.0,431.0,11.0,180.0,91.0
173,-0.0,-0.0,-0.0,4.0,20.0,44.0,0.0,0.0,0.0,60.0,5.0,20.0,44.0
174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,-0.0,-0.0,-0.0,1.0,5.0,11.0,-0.0,-0.0,-0.0,0.0,0.0,5.0,11.0
176,-0.0,-0.0,-0.0,4.0,20.0,44.0,1.0,150.0,25.0,111.0,7.0,170.0,69.0
177,0.0,0.0,0.0,9.0,45.0,99.0,0.0,0.0,0.0,256.0,11.0,45.0,99.0
178,-0.0,-0.0,-0.0,3.0,15.0,33.0,0.0,0.0,0.0,122.0,4.0,15.0,33.0
179,-0.0,-0.0,-0.0,2.0,10.0,22.0,0.0,0.0,0.0,36.0,3.0,10.0,22.0
180,4.0,4.0,22.0,1.0,5.0,11.0,2.0,300.0,50.0,430.0,8.0,309.0,83.0
181,-0.0,-0.0,-0.0,4.0,20.0,44.0,2.0,300.0,50.0,404.0,9.0,320.0,94.0
182,-0.0,-0.0,-0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,-0.0,-0.0,-0.0,4.0,20.0,44.0,1.0,150.0,25.0,281.0,7.0,170.0,69.0
185,3.0,3.0,16.5,5.0,25.0,55.0,2.0,300.0,50.0,290.0,6.0,328.0,121.5
186,-0.0,-0.0,-0.0,6.0,30.0,66.0,1.0,150.0,25.0,322.0,12.0,180.0,91.0
187,0.0,0.0,0.0,3.0,15.0,33.0,0.0,0.0,0.0,59.0,3.0,15.0,33.0
188,1.0,1.0,5.5,3.0,15.0,33.0,0.0,0.0,0.0,162.0,5.0,16.0,38.5
189,-0.0,-0.0,-0.0,3.0,15.0,33.0,0.0,0.0,0.0,58.0,3.0,15.0,33.0
190,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,150.0,25.0,66.0,2.0,150.0,25.0
191,-0.0,-0.0,-0.0,8.0,40.0,88.0,0.0,0.0,0.0,376.0,13.0,40.0,88.0
192,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,4.0,20.0,44.0,0.0,0.0,0.0,0.0,0.0,20.0,44.0
194,-0.0,-0.0,-0.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0
