ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,490301.80229475076,508.0,48950880.0,
slow,public,1552410.1259447816,508.0,48950880.0,
slow,ALL,2042711.9282395323,508.0,48950880.0,0.041729830561565644
medium,home,12194789.735933702,2335.0,450001200.0,
medium,public,67849910.44387215,2335.0,450001200.0,
medium,ALL,80044700.17980586,2335.0,450001200.0,0.17787663717298055
fast,home,3475124.636835392,168.0,73584000.0,
fast,public,29710674.42315254,168.0,73584000.0,
fast,ALL,33185799.059987932,168.0,73584000.0,0.4509920507173833
