log_file,log_name,model_role,initial_rows,initial_columns,initial_nonzeros,initial_continuous,initial_integer_total,initial_binary,presolve_removed_rows,presolve_removed_columns,presolved_rows,presolved_columns,presolved_nonzeros,root_presolved_rows,root_presolved_columns,root_presolved_nonzeros,barrier_factor_memory_MB,nodes_explored,simplex_iterations,solver_seconds,work_units,threads_used,final_objective,final_bound,final_gap,log_size_bytes
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_093933_small_with_redirection_withPV_withBESS_slackpenalty\logs\gurobi_run.log,gurobi_run.log,main_model,1189599,1340745,7590291,1192428,148317,90432,569507,589566,620092,751179,4258963,484581,543806,3049852,500.0,106,602954,998.77,774.43,32,126985541.0695,126996700.4672,8.800000000000001e-05,26406
C:\Users\omkarp\Downloads\Opti\runs\2026-08-12_093933_small_with_redirection_withPV_withBESS_slackpenalty\logs\pyomo_solve.log,pyomo_solve.log,other,1189599,1340745,7590291,1192428,148317,90432,569507,589566,620092,751179,4258963,484581,543806,3049852,500.0,106,602954,998.77,774.43,32,126985541.0695,126996700.4672,8.800000000000001e-05,26871
