HexID,AnnualPublicDemand_kWh,AnnualSlack_kWh,AnnualRedirectionOut_kWh,AnnualRedirectionIn_kWh,NetRedirectionIn_kWh,ChargerFootprintUsed,ParkingFootprintLimit,FootprintBinding,InstalledCapacity_kWh_slot
32,1854200.0000000014,0.0,2116.5876801543927,36.50000000000001,-2080.0876801543927,225.0,266.5,False,495.0
24,1753825.0000000014,0.0,3126.216504158643,17624.499440322394,14498.28293616375,130.0,153.5,False,286.0
15,1555812.5000000002,0.0,164812.82508940966,146.42734506024098,-164666.3977443494,53.0,53.5,False,192.5
25,1445399.9999999998,0.0,8460.551947755837,18177.44068363521,9716.888735879373,275.0,323.5,False,300.0
23,1088612.500000001,0.0,24731.305264001123,25288.95544350528,557.6501795041586,236.0,236.5,False,217.5
33,1050287.5000000002,0.0,17421.839575596387,2081.1261843316875,-15340.713391264699,219.0,219.0,True,239.5
17,1043899.9999999984,0.0,33126.14766045492,336.65862037735866,-32789.489040077555,105.0,197.0,False,231.0
26,948087.5000000013,0.0,10844.293491927241,9546.916701502081,-1297.37679042516,215.0,297.0,False,168.0
18,847712.5000000003,0.0,21865.060016901614,6128.0618252479735,-15736.998191653642,205.0,205.5,False,146.0
16,842237.4999999997,0.0,4928.895633743272,27379.444486919565,22450.548853176293,236.0,236.0,True,217.5
11,732737.5000000003,0.0,16437.60141970224,1371.8861149428633,-15065.715304759378,335.0,337.0,False,127.0
31,719962.4999999997,0.0,36.50000000000001,0.0,-36.50000000000001,86.0,180.0,False,192.5
36,698974.9999999999,0.0,1630.8936276589754,0.0,-1630.8936276589754,200.0,266.0,False,135.0
41,662474.9999999987,0.0,3289.305373747313,0.0,-3289.305373747313,200.0,217.5,False,135.0
21,584912.4999999999,0.0,24317.761768240245,978.2401494677528,-23339.52161877249,185.0,228.5,False,102.0
46,583087.5000000007,0.0,0.0,5757.3326998055145,5757.3326998055145,321.0,378.5,False,99.5
22,566662.4999999994,0.0,489.874107972144,22465.96766549604,21976.093557523895,200.0,200.0,True,135.0
10,543849.9999999992,0.0,3546.8952398494976,37871.88502150745,34324.989781657954,195.0,291.0,False,124.0
14,511912.50000000047,0.0,4395.686796055818,416.633812493128,-3979.0529835626903,90.0,193.0,False,198.0
6,500050.0000000006,0.0,0.0,0.0,0.0,45.0,81.0,False,99.0
45,496456.37750145694,0.0,7676.378511404473,12.694640000000078,-7663.683871404473,180.0,276.0,False,91.0
40,449862.5000000002,0.0,2507.079071476967,2541.3140522837234,34.23498080675654,215.0,265.0,False,168.0
29,444387.49999999994,0.0,6574.7449941179675,6074.34416818117,-500.40082593679745,195.0,240.5,False,124.0
34,414274.9999999996,0.0,4917.802409376021,17893.10588679704,12975.303477421017,317.0,318.0,False,94.0
28,365912.50000000023,0.0,0.0,1354.4409375167213,1354.4409375167213,180.0,263.0,False,91.0
9,340362.4999999998,0.0,287.6345170222726,8231.454041319657,7943.819524297385,175.0,289.0,False,80.0
39,339450.0000000001,0.0,5753.85305083111,1071.6080163004272,-4682.2450345306825,175.0,177.5,False,80.0
30,323024.99999999994,0.0,5991.198965675418,8219.458271030064,2228.259305354646,315.0,375.5,False,83.0
44,304775.0,0.0,1937.23797493388,13703.219721696412,11765.981746762533,315.0,362.0,False,83.0
4,284699.99999999994,0.0,264.5756641640703,10059.500203029644,9794.924538865573,310.0,370.5,False,72.0
43,253675.00000000017,0.0,9624.237253561574,3922.026588677667,-5702.210664883907,160.0,236.5,False,47.0
53,245462.49999999985,0.0,1029.8694006732565,5775.764892552625,4745.895491879368,170.0,293.5,False,69.0
54,240900.00000000006,0.0,4045.2995672451216,3753.8573472956427,-291.44221994947884,175.0,330.5,False,80.0
47,214437.50000000026,0.0,5757.3326998055145,0.0,-5757.3326998055145,40.0,78.0,False,88.0
49,209874.99999999997,0.0,0.0,0.0,0.0,166.0,253.5,False,63.5
5,204400.0,0.0,0.0,0.0,0.0,26.0,145.0,False,60.5
52,187062.5000000002,0.0,7344.152622222698,1345.4912407851507,-5998.661381437547,160.0,180.5,False,47.0
55,183412.5000000001,0.0,3753.8573472956427,4045.2995672451216,291.44221994947884,160.0,258.5,False,47.0
38,166074.99999999983,0.0,1644.7132769120976,193.3074876364983,-1451.4057892755993,160.0,346.0,False,47.0
1,132312.4999999999,0.0,1856.0625672765318,1000.3201261147121,-855.7424411618197,25.0,40.5,False,55.0
8,129574.99999999997,0.0,741.2579082898374,62014.115178465334,61272.8572701755,154.0,154.0,True,47.0
51,123187.50000000006,0.0,1052.036864393453,958.3145576642839,-93.72230672916908,15.0,22.5,False,33.0
37,120449.9999999998,0.0,0.0,0.0,0.0,160.0,379.0,False,47.0
27,111324.99999999999,0.0,7259.939060567796,4634.257966876023,-2625.6810936917736,15.0,42.5,False,33.0
48,104025.00000000001,0.0,1343.8888833167903,5991.898937040715,4648.010053723925,20.0,106.0,False,44.0
13,103112.49999999991,0.0,488.36604149560856,28296.814751802933,27808.448710307322,155.0,311.5,False,36.0
56,99462.50000000004,0.0,0.0,0.0,0.0,20.0,62.0,False,44.0
50,87600.00000000003,0.0,2358.412451988355,5304.813437801544,2946.400985813189,150.0,184.0,False,25.0
7,52012.500000000015,0.0,421.14040284104686,55473.56830478425,55052.4279019432,15.0,40.5,False,33.0
19,48362.500000000015,0.0,80.72955869918486,91.91447608967678,11.184917390491918,10.0,137.0,False,22.0
12,45625.000000000015,0.0,91.91447608967678,80.72955869918486,-11.184917390491918,10.0,264.5,False,22.0
42,41062.49999999999,0.0,0.0,3572.8498162473124,3572.8498162473124,31.0,98.5,False,71.5
2,8212.500000000005,0.0,1671.1836004381196,828.679970895914,-842.5036295422055,5.0,246.0,False,11.0
0,0.0,0.0,0.0,0.0,0.0,0.0,248.5,False,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,261.5,False,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,141.5,False,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,134.5,False,0.0
