ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,490598.0555216717,508.0,48950880.0,
slow,public,1552113.872717864,508.0,48950880.0,
slow,ALL,2042711.9282395358,508.0,48950880.0,0.04172983056156571
medium,home,12091754.723573329,2335.0,450001200.0,
medium,public,67952945.45623149,2335.0,450001200.0,
medium,ALL,80044700.17980482,2335.0,450001200.0,0.17787663717297825
fast,home,3577863.395968645,168.0,73584000.0,
fast,public,29607935.664019186,168.0,73584000.0,
fast,ALL,33185799.05998783,168.0,73584000.0,0.4509920507173819
