HexID,Month,DemandClass,RepresentativeDayDemand_kWh,RepresentativeDaySlack_kWh,AnnualSlack_kWh,SlackShare
11,January,public,2007.5,0.0,0.0,0.0
11,February,public,2007.5,0.0,0.0,0.0
11,March,public,2007.5,0.0,0.0,0.0
11,April,public,2007.5,0.0,0.0,0.0
11,May,public,2007.5,0.0,0.0,0.0
11,June,public,2007.5,0.0,0.0,0.0
11,July,public,2007.5,0.0,0.0,0.0
11,August,public,2007.5,0.0,0.0,0.0
11,September,public,2007.5,0.0,0.0,0.0
11,October,public,2007.5,0.0,0.0,0.0
11,November,public,2007.5,0.0,0.0,0.0
11,December,public,2007.5,0.0,0.0,0.0
12,January,public,125.0,0.0,0.0,0.0
12,February,public,125.0,0.0,0.0,0.0
12,March,public,125.0,0.0,0.0,0.0
12,April,public,125.0,0.0,0.0,0.0
12,May,public,125.0,0.0,0.0,0.0
12,June,public,125.0,0.0,0.0,0.0
12,July,public,125.0,0.0,0.0,0.0
12,August,public,125.0,0.0,0.0,0.0
12,September,public,125.0,0.0,0.0,0.0
12,October,public,125.0,0.0,0.0,0.0
12,November,public,125.0,0.0,0.0,0.0
12,December,public,125.0,0.0,0.0,0.0
13,January,home,169.5665883618292,0.0,0.0,0.0
13,January,public,282.5,0.0,0.0,0.0
13,February,home,169.5665883618292,0.0,0.0,0.0
13,February,public,282.5,0.0,0.0,0.0
13,March,home,169.5665883618292,0.0,0.0,0.0
13,March,public,282.5,0.0,0.0,0.0
13,April,home,169.5665883618292,0.0,0.0,0.0
13,April,public,282.5,0.0,0.0,0.0
13,May,home,169.5665883618292,0.0,0.0,0.0
13,May,public,282.5,0.0,0.0,0.0
13,June,home,169.5665883618292,0.0,0.0,0.0
13,June,public,282.5,0.0,0.0,0.0
13,July,home,169.5665883618292,0.0,0.0,0.0
13,July,public,282.5,0.0,0.0,0.0
13,August,home,169.5665883618292,0.0,0.0,0.0
13,August,public,282.5,0.0,0.0,0.0
13,September,home,169.5665883618292,0.0,0.0,0.0
13,September,public,282.5,0.0,0.0,0.0
13,October,home,169.5665883618292,0.0,0.0,0.0
13,October,public,282.5,0.0,0.0,0.0
13,November,home,169.5665883618292,0.0,0.0,0.0
13,November,public,282.5,0.0,0.0,0.0
13,December,home,169.5665883618292,0.0,0.0,0.0
13,December,public,282.5,0.0,0.0,0.0
14,January,home,2076.57034575251,0.0,0.0,0.0
14,January,public,1402.5000000000002,0.0,0.0,0.0
14,February,home,2076.57034575251,0.0,0.0,0.0
14,February,public,1402.5000000000002,0.0,0.0,0.0
14,March,home,2076.57034575251,0.0,0.0,0.0
14,March,public,1402.5000000000002,0.0,0.0,0.0
14,April,home,2076.57034575251,0.0,0.0,0.0
14,April,public,1402.5000000000002,0.0,0.0,0.0
14,May,home,2076.57034575251,0.0,0.0,0.0
14,May,public,1402.5000000000002,0.0,0.0,0.0
14,June,home,2076.57034575251,0.0,0.0,0.0
14,June,public,1402.5000000000002,0.0,0.0,0.0
