Method,Model role,Solver calls,Max initial_rows,Median initial_rows,Max initial_columns,Median initial_columns,Max initial_nonzeros,Median initial_nonzeros,Max presolved_rows,Median presolved_rows,Max presolved_columns,Median presolved_columns,Max presolved_nonzeros,Median presolved_nonzeros,Max root_presolved_rows,Median root_presolved_rows,Max root_presolved_columns,Median root_presolved_columns,Max root_presolved_nonzeros,Median root_presolved_nonzeros,Max barrier_factor_memory_MB,Median barrier_factor_memory_MB,Max threads_used,Median threads_used,Total solver_seconds,Total work_units,Total nodes_explored,Total simplex_iterations,Rows removed by presolve,Columns removed by presolve
LBBD,exact_annual_oracle,3,1189599.0,1189599.0,1340461.0,1340461.0,7093959.0,7093959.0,414958.0,413925.0,654298.0,654192.0,3549627.0,3530551.0,199909.0,193136.0,345066.0,323556.0,1478430.0,1357182.0,250.0,240.0,32.0,32.0,259.96,247.45,3.0,245721.0,0.6511782541848136,0.5118858362906493
LBBD,linked_annual_lp,5,1189884.0,1189884.0,1340745.0,1340745.0,7590576.0,7590576.0,376596.0,376145.0,518100.0,516142.0,1782279.0,1772519.0,,,,,,,,,32.0,32.0,551.66,594.38,0.0,918671.0,0.6835019211956797,0.6135730508038442
LBBD,master,3,452493.0,452492.0,466011.0,466011.0,1677568.0,1675750.0,360230.0,359990.0,357368.0,355583.0,1369501.0,1365672.0,305891.0,305891.0,275397.0,275397.0,1129084.0,1129084.0,300.0,300.0,32.0,32.0,1138.3700000000001,940.71,1153.0,407302.0,0.2038992868397964,0.23313398181587985
