from_HexID,to_HexID,Month,TimeIndex,Distance_km,Energy_kWh_day,Energy_kWh_annual,Yarc,Trips,Tail_kWh
1,2,April,17,1.284,0.27029344225709906,8.108803267712972,1.0,0.0,0.27029344225709906
1,2,August,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,December,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,February,17,1.284,0.27029344225709906,7.568216383198774,1.0,0.0,0.27029344225709906
1,2,January,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,July,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,June,17,1.284,0.27029344225709906,8.108803267712972,1.0,0.0,0.27029344225709906
1,2,March,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,May,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,November,17,1.284,0.27029344225709906,8.108803267712972,1.0,0.0,0.27029344225709906
1,2,October,17,1.284,0.27029344225709906,8.37909670997007,1.0,0.0,0.27029344225709906
1,2,September,17,1.284,0.27029344225709906,8.108803267712972,1.0,0.0,0.27029344225709906
1,9,April,17,1.236,3.4113217965985356,102.33965389795607,1.0,0.0,3.4113217965985356
1,9,April,20,1.236,1.8586115171267412,55.75834551380224,1.0,0.0,1.8586115171267412
1,9,August,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,December,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,February,17,1.236,3.4113217965985356,95.517010304759,1.0,0.0,3.4113217965985356
1,9,January,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,July,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,June,17,1.236,3.4113217965985356,102.33965389795607,1.0,0.0,3.4113217965985356
1,9,June,20,1.236,9.702370244473473,291.07110733420416,1.0,0.0,9.702370244473473
1,9,March,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,May,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,May,19,1.236,0.9190756485984153,28.491345106550874,1.0,0.0,0.9190756485984153
1,9,May,20,1.236,4.41781313351937,136.9522071391005,1.0,0.0,4.41781313351937
1,9,November,17,1.236,3.4113217965985356,102.33965389795607,1.0,0.0,3.4113217965985356
1,9,October,17,1.236,3.4113217965985356,105.7509756945546,1.0,0.0,3.4113217965985356
1,9,September,17,1.236,3.4113217965985356,102.33965389795607,1.0,0.0,3.4113217965985356
2,9,April,19,1.124,3.3479488244405857,100.43846473321757,1.0,0.0,3.3479488244405857
2,9,April,20,1.124,8.815846756639095,264.47540269917283,1.0,0.0,8.815846756639095
2,9,April,21,1.124,1.82253033493906,54.6759100481718,1.0,0.0,1.82253033493906
2,9,July,20,1.124,0.1,3.1,1.0,0.0,0.1
2,9,June,19,1.124,3.5857061577739273,107.57118473321782,1.0,0.0,3.5857061577739273
2,9,June,20,1.124,8.815846756639095,264.47540269917283,1.0,0.0,8.815846756639095
2,9,June,21,1.124,6.068241184153243,182.0472355245973,1.0,0.0,6.068241184153243
2,9,May,19,1.124,7.615912059207663,236.09327383543754,1.0,0.0,7.615912059207663
2,9,May,20,1.124,8.815846756639095,273.29124945581196,1.0,0.0,8.815846756639095
2,9,May,21,1.124,6.068241184153243,188.11547670875055,1.0,0.0,6.068241184153243
4,11,April,38,1.2756,0.6994932056428098,20.984796169284294,1.0,0.0,0.6994932056428098
4,11,August,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,December,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,February,38,1.2756,0.6994932056428098,19.585809757998675,1.0,0.0,0.6994932056428098
4,11,January,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,July,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,June,38,1.2756,0.6994932056428098,20.984796169284294,1.0,0.0,0.6994932056428098
4,11,March,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,May,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,November,38,1.2756,0.6994932056428098,20.984796169284294,1.0,0.0,0.6994932056428098
4,11,October,38,1.2756,0.6994932056428098,21.684289374927104,1.0,0.0,0.6994932056428098
4,11,September,38,1.2756,0.6994932056428098,20.984796169284294,1.0,0.0,0.6994932056428098
7,8,April,24,1.1712,1.153809322852176,34.61427968556528,1.0,0.0,1.153809322852176
7,8,August,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,December,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,February,24,1.1712,1.153809322852176,32.30666103986093,1.0,0.0,1.153809322852176
7,8,January,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,July,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,June,24,1.1712,1.153809322852176,34.61427968556528,1.0,0.0,1.153809322852176
7,8,March,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,May,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,November,24,1.1712,1.153809322852176,34.61427968556528,1.0,0.0,1.153809322852176
7,8,October,24,1.1712,1.153809322852176,35.768089008417455,1.0,0.0,1.153809322852176
7,8,September,24,1.1712,1.153809322852176,34.61427968556528,1.0,0.0,1.153809322852176
8,1,April,21,1.1788,6.705008401144934,201.150252034348,1.0,0.0,6.705008401144934
8,1,June,21,1.1788,7.998589984478269,239.95769953434805,1.0,0.0,7.998589984478269
8,1,May,21,1.1788,8.760569597540112,271.5776575237435,1.0,0.0,8.760569597540112
9,1,June,23,1.236,7.668366749038569,230.05100247115706,1.0,0.0,7.668366749038569
9,1,June,29,1.236,1.9194504850372098,57.583514551116295,1.0,0.0,1.9194504850372098
10,9,April,34,1.4594,8.033498168468917,241.0049450540675,1.0,0.0,8.033498168468917
10,9,August,34,1.4594,5.620918173845261,174.2484633892031,1.0,0.0,5.620918173845261
10,9,January,34,1.4594,7.158180835135584,221.90360588920308,1.0,0.0,7.158180835135584
10,9,July,34,1.4594,9.455763194440486,293.1286590276551,1.0,0.0,9.455763194440486
10,9,June,34,1.4594,9.455763194440486,283.67289583321457,1.0,0.0,9.455763194440486
10,9,March,34,1.4594,9.455763194440486,293.1286590276551,1.0,0.0,9.455763194440486
10,9,May,20,1.4594,3.0819894799585086,95.54167387871377,1.0,0.0,3.0819894799585086
10,9,May,34,1.4594,9.455763194440486,293.1286590276551,1.0,0.0,9.455763194440486
10,9,November,34,1.4594,9.455763194440486,283.67289583321457,1.0,0.0,9.455763194440486
10,9,September,34,1.4594,0.912704418468917,27.381132554067513,1.0,0.0,0.912704418468917
10,11,April,34,1.1045,1.4222650259715692,42.66795077914708,1.0,0.0,1.4222650259715692
10,11,August,34,1.1045,3.8348450205952247,118.88019563845197,1.0,0.0,3.8348450205952247
10,11,December,34,1.1045,9.455763194440486,293.1286590276551,1.0,0.0,9.455763194440486
10,11,February,34,1.1045,9.455763194440486,264.7613694443336,1.0,0.0,9.455763194440486
10,11,January,34,1.1045,2.2975823593049025,71.22505313845198,1.0,0.0,2.2975823593049025
10,11,October,34,1.1045,9.455763194440486,293.1286590276551,1.0,0.0,9.455763194440486
10,11,September,34,1.1045,8.54305877597157,256.2917632791471,1.0,0.0,8.54305877597157
11,4,April,17,1.2756,0.1,3.0,1.0,0.0,0.1
