ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,201304.37315056825,67.0,6456120.0,
slow,public,959574.2217533591,67.0,6456120.0,
slow,ALL,1160878.5949039296,67.0,6456120.0,0.17981056654831842
medium,home,2709724.170193228,403.0,77666160.0,
medium,public,16146810.137137733,403.0,77666160.0,
medium,ALL,18856534.307331022,403.0,77666160.0,0.24278957923671032
fast,home,838103.7255857906,41.0,17958000.0,
fast,public,8303147.018610721,41.0,17958000.0,
fast,ALL,9141250.74419648,41.0,17958000.0,0.5090350119276356
