from_HexID,to_HexID,distance,euclidean_m,from_node_x,from_node_y,to_node_x,to_node_y
0,3,1203.7605472170144,866.0254037844178,317343.6083247441,6386415.441099871,317759.5814901553,6387262.278382194
1,2,1323.336750280088,866.0254037843551,316080.0342018077,6387263.32587171,316875.1232668031,6387245.391654129
2,1,1323.3367502800872,866.0254037843551,316875.1232668031,6387245.391654129,316080.0342018077,6387263.32587171
2,3,1412.9596893927512,866.0254037844716,316875.1232668031,6387245.391654129,317759.5814901553,6387262.278382194
2,12,1041.8286327392566,866.0254037836695,316875.1232668031,6387245.391654129,317295.5990820731,6387954.341172809
3,0,1203.7605472170137,866.0254037844178,317759.5814901553,6387262.278382194,317343.6083247441,6386415.441099871
3,2,1412.9596893927512,866.0254037844716,317759.5814901553,6387262.278382194,316875.1232668031,6387245.391654129
4,16,770.3135422709017,866.0254037835821,324629.8480409187,6387379.244643182,324207.1175806147,6387994.443082834
5,18,1336.269551382838,866.0254037836113,326384.1741012376,6387251.948258231,326023.94701821747,6388044.677061324
5,19,1340.5307401630646,866.0254037836695,326384.1741012376,6387251.948258231,326832.02308214904,6387985.0096655665
7,8,1125.9959499597928,866.0254037844134,331594.7507498299,6387233.436932578,332435.34241783374,6387227.50454318
8,7,1125.995949959793,866.0254037844134,332435.34241783374,6387227.50454318,331594.7507498299,6387233.436932578
9,10,1289.30087670658,866.0254037844716,313503.1677784956,6390338.208645984,313640.4822846325,6390070.13614964
9,23,124.80498655096001,866.0254037844178,313503.1677784956,6390338.208645984,313469.4151835079,6390432.268634575
9,24,0.0,866.0254037844469,313503.1677784956,6390338.208645984,313503.1677784956,6390338.208645984
9,49,20.7439869594442,5267.82687642627,313503.1677784956,6390338.208645984,313516.4305683987,6390322.858442024
9,50,1216.448574973635,6062.177826490945,313503.1677784956,6390338.208645984,314231.13800630294,6390341.8419710025
9,61,1215.9607319665608,5999.999999999919,313503.1677784956,6390338.208645984,313842.8623026933,6391005.971571843
10,9,1289.30087670658,866.0254037844716,313640.4822846325,6390070.13614964,313503.1677784956,6390338.208645984
10,23,1371.7595653170986,1499.9999999999923,313640.4822846325,6390070.13614964,313469.4151835079,6390432.268634575
10,24,1289.30087670658,866.0254037844469,313640.4822846325,6390070.13614964,313503.1677784956,6390338.208645984
10,49,1268.556889747136,4499.999999999876,313640.4822846325,6390070.13614964,313516.4305683987,6390322.858442024
10,50,1249.827993901026,5267.8268764262175,313640.4822846325,6390070.13614964,314231.13800630294,6390341.8419710025
10,61,1327.637610837033,5267.826876426266,313640.4822846325,6390070.13614964,313842.8623026933,6391005.971571843
11,25,1116.3860368586015,866.0254037844469,316435.7603725268,6387998.101122923,316083.1477320188,6388748.758043326
11,26,1307.201579493716,866.0254037843887,316435.7603725268,6387998.101122923,316860.5236434561,6388818.153156084
12,2,1041.8286327392564,866.0254037836695,317295.5990820731,6387954.341172809,316875.1232668031,6387245.391654129
13,27,1475.2860817178519,866.0254037844469,318145.2947186731,6387981.610043854,317742.1182636041,6388774.574691502
13,28,1287.0700325375783,866.0254037844178,318145.2947186731,6387981.610043854,318604.10529742076,6388670.43910369
14,15,715.5873741615093,866.0254037844716,322780.38398780505,6388101.503662127,323373.33535676985,6387961.715686159
15,14,715.5873741615093,866.0254037844716,323373.33535676985,6387961.715686159,322780.38398780505,6388101.503662127
15,16,1266.7043172939052,866.0254037844134,323373.33535676985,6387961.715686159,324207.1175806147,6387994.443082834
16,4,770.3135422709021,866.0254037835821,324207.1175806147,6387994.443082834,324629.8480409187,6387379.244643182
16,15,1266.7043172939048,866.0254037844134,324207.1175806147,6387994.443082834,323373.33535676985,6387961.715686159
16,32,1323.69478228695,866.0254037843887,324207.1175806147,6387994.443082834,324672.70007529296,6388737.519093723
18,5,1336.2695513828376,866.0254037836113,326023.94701821747,6388044.677061324,326384.1741012376,6387251.948258231
18,19,1057.9940028674985,866.0254037844716,326023.94701821747,6388044.677061324,326832.02308214904,6387985.0096655665
18,33,1228.0960010156198,866.0254037844178,326023.94701821747,6388044.677061324,325561.37126121426,6388730.740042619
18,34,1002.2082056310778,866.0254037844178,326023.94701821747,6388044.677061324,326410.8126072489,6388739.759196354
19,5,1340.5307401630646,866.0254037836695,326832.02308214904,6387985.0096655665,326384.1741012376,6387251.948258231
19,18,1057.9940028674982,866.0254037844716,326832.02308214904,6387985.0096655665,326023.94701821747,6388044.677061324
19,34,1424.723316408102,866.025403784476,326832.02308214904,6387985.0096655665,326410.8126072489,6388739.759196354
20,35,1363.9524291702685,866.0254037844469,330417.4017338912,6387959.002769465,329906.38715738844,6388720.8118684795
21,36,1114.5350776662242,866.0254037844178,331944.5396350204,6388035.396330043,332448.88141867716,6388712.667905452
23,9,124.80498655096004,866.0254037844178,313469.4151835079,6390432.268634575,313503.1677784956,6390338.208645984
23,10,1371.7595653170993,1499.9999999999923,313469.4151835079,6390432.268634575,313640.4822846325,6390070.13614964
23,24,124.80498655096004,866.0254037844134,313469.4151835079,6390432.268634575,313503.1677784956,6390338.208645984
23,49,145.54897351040424,5408.326913195839,313469.4151835079,6390432.268634575,313516.4305683987,6390322.858442024
23,50,1298.907263584154,6244.997998398227,313469.4151835079,6390432.268634575,314231.13800630294,6390341.8419710025
23,61,1152.1495043090279,6062.177826490945,313469.4151835079,6390432.268634575,313842.8623026933,6391005.971571843
24,9,0.0,866.0254037844469,313503.1677784956,6390338.208645984,313503.1677784956,6390338.208645984
24,10,1289.30087670658,866.0254037844469,313503.1677784956,6390338.208645984,313640.4822846325,6390070.13614964
24,23,124.80498655096001,866.0254037844134,313503.1677784956,6390338.208645984,313469.4151835079,6390432.268634575
24,49,20.7439869594442,4582.575694955721,313503.1677784956,6390338.208645984,313516.4305683987,6390322.858442024
24,50,1216.448574973635,5408.326913195839,313503.1677784956,6390338.208645984,314231.13800630294,6390341.8419710025
24,61,1215.9607319665608,5267.82687642627,313503.1677784956,6390338.208645984,313842.8623026933,6391005.971571843
25,11,1116.3860368586013,866.0254037844469,316083.1477320188,6388748.758043326,316435.7603725268,6387998.101122923
25,26,1437.7724771567907,866.0254037843551,316083.1477320188,6388748.758043326,316860.5236434561,6388818.153156084
25,38,1359.2678317840384,866.0254037844469,316083.1477320188,6388748.758043326,316451.6343885838,6389490.853601636
26,11,1307.2015794937158,866.0254037843887,316860.5236434561,6388818.153156084,316435.7603725268,6387998.101122923
26,25,1437.7724771567903,866.0254037843551,316860.5236434561,6388818.153156084,316083.1477320188,6388748.758043326
26,27,1008.7972125278809,866.0254037844716,316860.5236434561,6388818.153156084,317742.1182636041,6388774.574691502
26,38,1052.8824129104987,866.0254037843887,316860.5236434561,6388818.153156084,316451.6343885838,6389490.853601636
27,13,1475.2860817178514,866.0254037844469,317742.1182636041,6388774.574691502,318145.2947186731,6387981.610043854
27,26,1008.7972125278808,866.0254037844716,317742.1182636041,6388774.574691502,316860.5236434561,6388818.153156084
27,28,1418.7518231547845,866.0254037844134,317742.1182636041,6388774.574691502,318604.10529742076,6388670.43910369
27,39,1054.9158265904007,866.0254037844178,317742.1182636041,6388774.574691502,317339.31508575135,6389504.941444842
28,13,1287.0700325375776,866.0254037844178,318604.10529742076,6388670.43910369,318145.2947186731,6387981.610043854
28,27,1418.7518231547838,866.0254037844134,318604.10529742076,6388670.43910369,317742.1182636041,6388774.574691502
29,30,1147.3096634156727,866.0254037844134,322158.0050440576,6388750.83835221,322992.13441330974,6388768.35430858
30,29,1147.3096634156725,866.0254037844134,322992.13441330974,6388768.35430858,322158.0050440576,6388750.83835221
30,40,1230.3416943050545,866.0254037844178,322992.13441330974,6388768.35430858,322509.8625844213,6389495.169982658
30,41,1163.7234420152906,866.025403784476,322992.13441330974,6388768.35430858,323351.5572121304,6389513.444290645
31,32,1496.716633293364,866.0254037842969,323784.979504857,6388735.600314166,324672.70007529296,6388737.519093723
31,41,1298.817763127848,866.0254037844469,323784.979504857,6388735.600314166,323351.5572121304,6389513.444290645
31,42,1212.7331535026465,866.0254037844178,323784.979504857,6388735.600314166,324237.53133266757,6389493.273286024
32,16,1323.6947822869504,866.0254037843887,324672.70007529296,6388737.519093723,324207.1175806147,6387994.443082834
32,31,1496.7166332933646,866.0254037842969,324672.70007529296,6388737.519093723,323784.979504857,6388735.600314166
32,33,1230.9711680055173,866.0254037845298,324672.70007529296,6388737.519093723,325561.37126121426,6388730.740042619
32,42,1158.838686290984,866.0254037843887,324672.70007529296,6388737.519093723,324237.53133266757,6389493.273286024
32,43,1184.548364431862,866.025403784476,324672.70007529296,6388737.519093723,325078.17546168563,6389487.159149004
33,18,1228.0960010156202,866.0254037844178,325561.37126121426,6388730.740042619,326023.94701821747,6388044.677061324
33,32,1230.971168005518,866.0254037845298,325561.37126121426,6388730.740042619,324672.70007529296,6388737.519093723
33,34,1334.3808716486615,866.0254037843551,325561.37126121426,6388730.740042619,326410.8126072489,6388739.759196354
33,43,1238.2313789261132,866.0254037844469,325561.37126121426,6388730.740042619,325078.17546168563,6389487.159149004
34,18,1002.2082056310778,866.0254037844178,326410.8126072489,6388739.759196354,326023.94701821747,6388044.677061324
34,19,1424.7233164081015,866.025403784476,326410.8126072489,6388739.759196354,326832.02308214904,6387985.0096655665
34,33,1334.3808716486608,866.0254037843551,326410.8126072489,6388739.759196354,325561.37126121426,6388730.740042619
34,45,1487.4590595298187,866.025403784476,326410.8126072489,6388739.759196354,326826.1550202852,6389401.695138208
35,20,1363.9524291702685,866.0254037844469,329906.38715738844,6388720.8118684795,330417.4017338912,6387959.002769465
36,21,1114.5350776662242,866.0254037844178,332448.88141867716,6388712.667905452,331944.5396350204,6388035.396330043
36,46,1469.380559933556,866.0254037844469,332448.88141867716,6388712.667905452,332893.1282711602,6389426.746529009
37,61,694.0824956461684,5408.326913195894,313242.3060945079,6391032.46820971,313842.8623026933,6391005.971571843
38,25,1359.2678317840378,866.0254037844469,316451.6343885838,6389490.853601636,316083.1477320188,6388748.758043326
38,26,1052.8824129104992,866.0254037843887,316451.6343885838,6389490.853601636,316860.5236434561,6388818.153156084
39,27,1054.9158265904011,866.0254037844178,317339.31508575135,6389504.941444842,317742.1182636041,6388774.574691502
40,30,1230.3416943050536,866.0254037844178,322509.8625844213,6389495.169982658,322992.13441330974,6388768.35430858
40,41,1271.679090370911,866.0254037844716,322509.8625844213,6389495.169982658,323351.5572121304,6389513.444290645
40,56,1428.1741210735443,866.0254037844178,322509.8625844213,6389495.169982658,322978.09467654437,6390255.024443072
41,30,1163.7234420152909,866.025403784476,323351.5572121304,6389513.444290645,322992.13441330974,6388768.35430858
41,31,1298.817763127848,866.0254037844469,323351.5572121304,6389513.444290645,323784.979504857,6388735.600314166
41,40,1271.679090370911,866.0254037844716,323351.5572121304,6389513.444290645,322509.8625844213,6389495.169982658
41,56,910.3800642628224,866.025403784476,323351.5572121304,6389513.444290645,322978.09467654437,6390255.024443072
41,57,1124.845307797961,866.0254037844469,323351.5572121304,6389513.444290645,323555.3605822207,6390180.261503438
42,31,1212.7331535026467,866.0254037844178,324237.53133266757,6389493.273286024,323784.979504857,6388735.600314166
42,32,1158.838686290984,866.0254037843887,324237.53133266757,6389493.273286024,324672.70007529296,6388737.519093723
42,43,1430.981461286578,866.0254037844134,324237.53133266757,6389493.273286024,325078.17546168563,6389487.159149004
43,32,1184.548364431862,866.025403784476,325078.17546168563,6389487.159149004,324672.70007529296,6388737.519093723
43,33,1238.231378926113,866.0254037844469,325078.17546168563,6389487.159149004,325561.37126121426,6388730.740042619
43,42,1430.9814612865785,866.0254037844134,325078.17546168563,6389487.159149004,324237.53133266757,6389493.273286024
44,58,1023.2001275043835,866.0254037844178,325885.3428454938,6389574.878069813,326453.1979061328,6390105.028689704
45,34,1487.4590595298184,866.025403784476,326826.1550202852,6389401.695138208,326410.8126072489,6388739.759196354
46,36,1469.380559933556,866.0254037844469,332893.1282711602,6389426.746529009,332448.88141867716,6388712.667905452
47,48,0.0,866.0254037844134,312097.28436295985,6393516.523587583,312097.28436295985,6393516.523587583
47,60,428.3991425801334,866.0254037844178,312097.28436295985,6393516.523587583,311967.9916332533,6393720.984218447
47,85,414.35951459788674,2291.2878474788267,312097.28436295985,6393516.523587583,311962.47489320236,6393733.862050809
47,105,414.35951459788674,2999.9999999990687,312097.28436295985,6393516.523587583,311962.47489320236,6393733.862050809
47,106,414.35951459788674,3122.498999198297,312097.28436295985,6393516.523587583,311962.47489320236,6393733.862050809
47,129,682.2140941602446,3968.626966596864,312097.28436295985,6393516.523587583,311944.82352984924,6393966.158865679
47,130,682.2140941602446,4330.127018922176,312097.28436295985,6393516.523587583,311944.82352984924,6393966.158865679
47,131,580.3418373757977,6062.177826490984,312097.28436295985,6393516.523587583,312115.47356200335,6393991.707324323
47,153,1129.0990568738341,4821.82538049646,312097.28436295985,6393516.523587583,311966.18437224627,6394458.689555883
48,47,0.0,866.0254037844134,312097.28436295985,6393516.523587583,312097.28436295985,6393516.523587583
48,60,428.3991425801334,866.0254037844469,312097.28436295985,6393516.523587583,311967.9916332533,6393720.984218447
48,85,414.35951459788674,2291.2878474788376,312097.28436295985,6393516.523587583,311962.47489320236,6393733.862050809
48,105,414.35951459788674,3122.498999198297,312097.28436295985,6393516.523587583,311962.47489320236,6393733.862050809
48,106,414.35951459788674,2999.9999999990687,312097.28436295985,6393516.523587583,311962.47489320236,6393733.862050809
48,129,682.2140941602446,3774.91721763537,312097.28436295985,6393516.523587583,311944.82352984924,6393966.158865679
48,130,682.2140941602446,3968.626966596883,312097.28436295985,6393516.523587583,311944.82352984924,6393966.158865679
48,131,580.3418373757977,5408.326913195923,312097.28436295985,6393516.523587583,312115.47356200335,6393991.707324323
48,153,1129.0990568738341,4582.575694955835,312097.28436295985,6393516.523587583,311966.18437224627,6394458.689555883
49,9,20.7439869594442,5267.82687642627,313516.4305683987,6390322.858442024,313503.1677784956,6390338.208645984
49,10,1268.556889747136,4499.999999999876,313516.4305683987,6390322.858442024,313640.4822846325,6390070.13614964
49,23,145.5489735104042,5408.326913195839,313516.4305683987,6390322.858442024,313469.4151835079,6390432.268634575
49,24,20.7439869594442,4582.575694955721,313516.4305683987,6390322.858442024,313503.1677784956,6390338.208645984
49,50,1195.7045880141907,866.0254037844134,313516.4305683987,6390322.858442024,314231.13800630294,6390341.8419710025
49,61,1195.2167450071167,866.0254037844469,313516.4305683987,6390322.858442024,313842.8623026933,6391005.971571843
50,9,1216.4485749736352,6062.177826490945,314231.13800630294,6390341.8419710025,313503.1677784956,6390338.208645984
50,10,1249.8279939010263,5267.8268764262175,314231.13800630294,6390341.8419710025,313640.4822846325,6390070.13614964
50,23,1298.9072635841535,6244.997998398227,314231.13800630294,6390341.8419710025,313469.4151835079,6390432.268634575
